year_month,psoe_avg,pp_avg,vox_avg,sumar_avg,n_polls,n_statements,n_immigration,imm_volume_norm,salience_score,year,t,psoe_lag1,psoe_chg,stmt_lag1,stmt_lag2,salience_lag1,unemp_rate_national
2023-11-01,29.089905555555557,33.95826666666667,10.364888888888888,10.859388888888889,18,1,51,24.5,100,2023,1,NA,NA,NA,NA,NA,12.665000000000001
2023-12-01,28.86069411764706,33.80391176470588,10.015823529411763,10.251058823529412,17,3,73,35.1,100,2023,2,29.089905555555557,-0.2292114379084964,1,NA,24.5,12.665000000000001
2024-01-01,29.155116666666665,32.722991666666665,9.809666666666669,9.800666666666666,12,3,105,50.5,100,2024,3,28.86069411764706,0.29442254901960396,3,1,35.1,12.004811320754717
2024-02-01,28.992884615384614,34.787607692307695,9.785846153846157,9.607076923076924,13,2,56,26.9,100,2024,4,29.155116666666665,-0.1622320512820501,3,3,50.5,12.004811320754717
2024-03-01,28.07358888888889,35.2097,10.615944444444445,9.445222222222222,18,3,57,27.4,100,2024,5,28.992884615384614,-0.9192957264957258,2,3,26.9,12.004811320754717
2024-04-01,29.015191666666663,32.60086666666667,10.097666666666669,7.77675,12,2,64,30.8,100,2024,6,28.07358888888889,0.9416027777777742,3,2,27.4,12.004811320754717
2024-05-01,29.311777777777777,31.818805555555556,11.263555555555556,7.486666666666666,18,2,87,41.8,100,2024,7,29.015191666666663,0.29658611111111455,2,3,30.8,12.004811320754717
2024-06-01,28.42605,29.098085714285713,10.688857142857144,6.539642857142857,14,2,93,44.7,100,2024,8,29.311777777777777,-0.8857277777777774,2,2,41.8,12.004811320754717
2024-07-01,28.82862,29.78316,10.237933333333334,6.1974,15,4,157,75.5,100,2024,9,28.42605,0.40257000000000076,2,2,44.7,12.004811320754717
2024-08-01,29.47891,32.98064,10.4867,6.2801,10,2,88,42.3,100,2024,10,28.82862,0.6502899999999983,4,2,75.5,12.004811320754717
2024-09-01,27.877264705882354,30.202105882352942,10.196,6.341058823529412,17,2,191,91.8,100,2024,11,29.47891,-1.6016452941176453,2,4,42.3,12.004811320754717
2024-10-01,26.96216,31.551286666666662,10.8612,6.156533333333333,15,2,177,85.1,100,2024,12,27.877264705882354,-0.9151047058823529,2,2,91.8,12.004811320754717
2024-11-01,26.16011578947369,28.77232105263158,12.104105263157894,5.281789473684211,19,0,92,44.2,100,2024,13,26.96216,-0.8020442105263115,2,2,85.1,12.004811320754717
2024-12-01,26.91355,29.4779125,12.7749375,5.779125,16,3,109,52.4,100,2024,14,26.16011578947369,0.7534342105263114,0,2,44.2,12.004811320754717
2025-01-01,26.532973333333334,28.96106,12.474933333333333,5.840466666666667,15,4,134,64.4,100,2025,15,26.91355,-0.38057666666666634,3,0,52.4,11
2025-02-01,27.692684615384614,30.86383076923077,14.337615384615384,6.0581538461538464,13,8,146,70.2,100,2025,16,26.532973333333334,1.1597112820512798,4,3,64.4,11
2025-03-01,26.68271176470588,28.831282352941177,12.55635294117647,5.659294117647059,17,2,185,88.9,100,2025,17,27.692684615384614,-1.0099728506787358,8,4,70.2,11
2025-04-01,26.998784615384615,28.800192307692303,13.035846153846151,5.379384615384615,13,4,153,73.6,100,2025,18,26.68271176470588,0.31607285067873647,2,8,88.9,11
2025-05-01,27.175947368421053,30.830305263157893,13.309263157894735,5.6027894736842105,19,1,167,80.3,100,2025,19,26.998784615384615,0.1771627530364377,4,2,73.6,11
2025-06-01,24.302047368421057,27.520594736842103,12.95621052631579,5.321315789473684,19,6,172,82.7,100,2025,20,27.175947368421053,-2.8738999999999955,1,4,80.3,11
2025-07-01,23.67134375,29.08976875,14.6349375,5.8245625,16,3,208,100,100,2025,21,24.302047368421057,-0.6307036184210588,6,1,82.7,11
2025-08-01,25.69065714285714,31.98532857142857,16.972857142857144,6.797714285714286,7,2,152,73.1,100,2025,22,23.67134375,2.0193133928571427,3,6,100,11
2025-09-01,25.335994736842107,26.653347368421052,15.729052631578949,5.702263157894737,19,1,178,85.6,100,2025,23,25.69065714285714,-0.3546624060150343,2,3,73.1,11
2025-10-01,26.199035714285714,26.915035714285715,16.5625,6.002285714285715,14,0,149,71.6,100,2025,24,25.335994736842107,0.8630409774436067,1,2,85.6,11
2025-11-01,26.632506666666668,27.46716,16.966933333333333,5.881571428571428,15,0,97,46.6,100,2025,25,26.199035714285714,0.43347095238095434,0,1,71.6,11
2025-12-01,25.540341176470587,26.618058823529413,16.736235294117648,5.916882352941177,17,1,129,62,100,2025,26,26.632506666666668,-1.0921654901960807,0,0,46.6,11
2026-01-01,24.91812352941177,27.12566470588235,15.870882352941177,5.742588235294117,17,1,198,95.2,100,2026,27,25.540341176470587,-0.6222176470588181,1,0,62,NA
2026-02-01,25.790835714285713,28.26466428571429,18.790214285714285,6.1073076923076925,14,0,166,79.8,100,2026,28,24.91812352941177,0.8727121848739436,1,1,95.2,NA
