year_month,psoe_var,psoe_var_lo,psoe_var_hi,pp_var,pp_var_lo,pp_var_hi
2026-03-01,26.06922701221021,24.203502054068164,27.934951970352255,27.894181584641384,24.271777428551268,31.5165857407315
2026-04-01,26.02584076685076,23.69707955955519,28.35460197414633,28.017269136350016,24.167790329718866,31.866747942981167
2026-05-01,25.966286730585242,23.299721429378977,28.632852031791508,28.329649021431912,24.20350315955801,32.45579488330581
2026-06-01,25.917365404345723,23.1022973943951,28.732433414296345,28.46248546015948,24.177484365514477,32.74748655480448
2026-07-01,25.944837405196203,23.02376678942064,28.865908020971766,28.511338003735855,24.03635415097894,32.986321856492765
2026-08-01,26.003647426431236,23.022808248602466,28.984486604260006,28.493957587604232,23.8975321832042,33.090382992004265
2026-09-01,26.062059319820168,23.037330963126205,29.08678767651413,28.48961816704437,23.808384335376243,33.17085199871249
2026-10-01,26.097027859973828,23.035582763120235,29.15847295682742,28.511098852405496,23.77509758459909,33.247100120211904
2026-11-01,26.11203803578812,23.02023400173826,29.203842069837982,28.552609750122315,23.778776530630743,33.326442969613886
2026-12-01,26.118312499798964,23.00411268050244,29.232512319095488,28.5935943261727,23.792459449243935,33.39472920310146
2027-01-01,26.125767781125994,22.995646665190893,29.255888897061094,28.62338324932316,23.800565398700027,33.44620109994629
2027-02-01,26.13711564675525,22.99575884696357,29.27847244654693,28.64113887176413,23.801234981380727,33.48104276214754
2027-03-01,26.150323808265195,23.000865531548747,29.299782084981643,28.65246382010779,23.799640659356868,33.50528698085871
2027-04-01,26.16227995621337,23.006759196186206,29.317800716240537,28.66255290093051,23.800285238663527,33.524820563197494
2027-05-01,26.171431581195307,23.011252839518672,29.331610322871942,28.673567555333065,23.8044464396935,33.54268867097263
2027-06-01,26.178029163582675,23.014289931433137,29.341768395732213,28.684940988993024,23.81080250758949,33.559079470396554
